time,spd_kp_0.27_ki_0.0043_pwma,spd_kp_0.291_ki_0.00290_pwma,spd_kp_0.27_ki_0.0043_pwmb,spd_kp_0.291_ki_0.00290_pwmb,spd_kp_0.27_ki_0.0043_pitch,spd_kp_0.291_ki_0.00290_pitch,spd_kp_0.27_ki_0.0043_motor_a_speed,spd_kp_0.291_ki_0.00290_motor_a_speed,spd_kp_0.27_ki_0.0043_motor_b_speed,spd_kp_0.291_ki_0.00290_motor_b_speed,spd_kp_0.27_ki_0.0043_target_angle,spd_kp_0.291_ki_0.00290_target_angle,spd_kp_0.27_ki_0.0043_angle_error,spd_kp_0.291_ki_0.00290_angle_error
1.075,681.040759240757,800,681.040759240757,800,-3.01959240759243,-8.58,42,52,44,59.9608391608409,3.92,9.68636363636335,6.93959240759243,18.2663636363634
1.08,686.979620379621,800,686.979620379621,800,-3.31898101898104,-8.58158241758245,40.0067932067931,52,40.0135864135862,56,4.76711288711294,10.33,8.08609390609397,18.9115824175824
1.085,765.652747252769,800,765.652747252769,800,-3.64854945054954,-8.75906493506493,40,52,40,56.0311688311689,4.77,10.3261038961039,8.41854945054954,19.0851688311688
1.09,789.870529470534,800,789.870529470534,800,-4.0776803196804,-8.64033966033966,41.9892107892111,52,43.9784215784223,60,4.02404595404582,9.83,8.10172627372622,18.4703396603397
1.095,763.172627372626,800,763.172627372626,800,-4.10980819180819,-8.69005794205794,42,52,44,59.988411588412,4.02,9.8337662337661,8.12980819180819,18.523824175824
1.1,749.103496503492,800,749.103496503492,800,-4.39785614385623,-8.70081518481513,42,52,44,58,4.86371628371653,10.48,9.26157242757276,19.1808151848151
1.105,799.572027972036,800,799.572027972036,800,-4.40991608391609,-8.87030375699437,42,52,44,58,4.87,10.4791646682655,9.27991608391608,19.3494684252599
1.11,800,800,800,800,-4.78650679456445,-8.9505394605394,43.9816147082339,52,45.9816147082339,58,4.91954036770585,10.26,9.7060471622703,19.2105394605394
1.115,800,800,800,800,-5.00775824175827,-9.13013986013983,44,51.9960039960049,46,57.9960039960049,4.92,10.2601398601398,9.92775824175827,19.3902797202797
1.12,800,800,800,800,-5.38001998001998,-9.20032967032972,44,50,46,56,5.52,10.33,10.90001998002,19.5303296703297
1.125,800,800,800,800,-5.4,-9.53,44,50,46,56,5.52,10.33,10.92,19.86
1.13,800,800,800,800,-5.57982017982023,-9.59993006993006,45.9980019980025,51.9980019980018,49.996003996005,57.9980019980018,5.58993006993009,9.83049950049955,11.1697502497503,19.4304295704296
1.135,800,800,800,800,-5.58,-9.7696603396603,46,52,50,58,5.59,9.83,11.17,19.5996603396603
1.14,800,800,800,800,-5.80931068931069,-9.75005994005995,47.994005994006,52,51.994005994006,58,6.45739260739263,10.4680819180817,12.2667032967033,20.2181418581417
1.145,800,800,800,800,-5.66059940059936,-10.0786813186814,48,52,52,58,6.46,10.47,12.1205994005994,20.5486813186814
1.15,800,800,800,800,-5.71971223021583,-10.1745034965035,49.9904076738609,52,52,60,7.07702637889688,10.55,12.7967386091127,20.7245034965035
1.155,800,800,800,800,-5.6205794205794,-10.4016723276723,50,51.9628371628377,52,59.9628371628377,7.08,10.5566893106892,12.7005794205794,20.9583616383615
1.16,800,800,800,800,-5.68952447552448,-10.4950989010988,50,50,52,58,7.4276223776224,10.91,13.1171468531469,21.4050989010988
1.165,800,800,800,800,-5.59077922077922,-10.7826533466534,50,50.0331668331672,52,58.0331668331672,7.43,10.9015424575424,13.0207792207792,21.6841958041957
1.17,800,800,800,800,-5.47105494505492,-10.9412467532468,51.982417582418,52,53.982417582418,60,7.51920879120881,10.4,12.9902637362637,21.3412467532468
1.175,800,800,800,800,-5.20264335664333,-11.0229170829171,52,52,54,59.9708291708293,7.52,10.4094805194805,12.7226433566433,21.4323976023976
1.18,800,800,800,800,-5.1495804195804,-11.2263856143855,52,52,56,58,8.15,11.05,13.2995804195804,22.2763856143855
1.185,800,800,800,800,-4.84995203836931,-11.692643884892,52,52.0251798561145,56,58.0251798561145,8.15014788169463,11.047356115108,13.0000999200639,22.74
1.19,800,800,800,800,-4.73004796163069,-11.90389010989,52,54,56,60,8.51985211830537,10.84,13.2499000799361,22.74389010989
1.195,800,800,800,800,-4.50032167832161,-12.2322657342657,52,53.9568431568444,56,59.9784215784222,8.52,10.8470129870128,13.0203216783216,23.0792787212785
1.2,800,800,800,800,-4.47007192807192,-12.4446993006991,52,50,56,58,8.62973626373628,11.49,13.0998081918082,23.9346993006991
1.205,800,800,800,800,-4.22084915084914,-12.9223736263737,52,50.0175824175827,56,58,8.63,11.4830549450548,12.8508491508491,24.4054285714285
1.21,800,800,800,800,-4.20008791208791,-13.1926493506494,52,52,57.9912087912093,58,8.72956043956047,10.7,12.9296483516484,23.8926493506494
1.215,800,800,800,800,-3.86183416583411,-13.5326493506493,52,51.9864135864137,58,58,8.73,10.7024455544455,12.5918341658341,24.2350949050949
1.22,800,800,800,800,-3.84012787212787,-13.9226653346652,52,50,58,58,9.09763436563438,11.06,12.9377622377623,24.9826653346652
1.225,800,800,800,800,-3.76059140859138,-14.3817262737262,52,50,58,58.0095904095898,9.1,11.0589450549451,12.8605914085914,25.4406713286713
1.23,800,800,800,800,-3.66083916083914,-14.7415567545961,52,50,58,60,9.20907692307694,10.84,12.8699160839161,25.5815567545961
1.235,800,800,800,800,-3.47174660271777,-15.150869130869,52,50,58,59.9940059940067,9.21,10.8410789210788,12.6817466027178,25.9919480519478
1.24,800,800,800,800,-3.51949050949052,-15.4410789210787,52,50,59.9796203796206,58,9.31887912087914,11.2,12.8383696303696,26.6410789210787
1.245,800,800,800,800,-3.46012987012989,-15.9804495504496,52,50.0019980019983,60,58.0019980019983,9.32036963036968,11.1997802197802,12.7804995004996,27.1802297702298
1.25,800,800,800,800,-3.59,-16.43,52,52,60,60,9.69,10.98,13.28,27.41
