time,b_kd_189_s_kp_0.278_ki_0.0012_pwma,b_kd_248_s_kp_0.374_ki_0.0012_pwma,b_kd_300_s_kp_0.465_ki_0.0012_pwma,b_kd_189_s_kp_0.278_ki_0.0012_pwmb,b_kd_248_s_kp_0.374_ki_0.0012_pwmb,b_kd_300_s_kp_0.465_ki_0.0012_pwmb,b_kd_189_s_kp_0.278_ki_0.0012_pitch,b_kd_248_s_kp_0.374_ki_0.0012_pitch,b_kd_300_s_kp_0.465_ki_0.0012_pitch,b_kd_189_s_kp_0.278_ki_0.0012_motor_a_speed,b_kd_248_s_kp_0.374_ki_0.0012_motor_a_speed,b_kd_300_s_kp_0.465_ki_0.0012_motor_a_speed,b_kd_189_s_kp_0.278_ki_0.0012_motor_b_speed,b_kd_248_s_kp_0.374_ki_0.0012_motor_b_speed,b_kd_300_s_kp_0.465_ki_0.0012_motor_b_speed,b_kd_189_s_kp_0.278_ki_0.0012_target_angle,b_kd_248_s_kp_0.374_ki_0.0012_target_angle,b_kd_300_s_kp_0.465_ki_0.0012_target_angle,b_kd_189_s_kp_0.278_ki_0.0012_angle_error,b_kd_248_s_kp_0.374_ki_0.0012_angle_error,b_kd_300_s_kp_0.465_ki_0.0012_angle_error
0.289999861838971,-14.7966442472516,30.8983424388852,28.1202278139336,-14.7966442472516,30.8983424388852,28.1202278139336,-0.241720702523256,-0.981172971859016,-3.45537017568903,14.0312855004228,12,22,14.0312855004228,12,22,3.4956200299408,1.03,3.83,3.73734073246406,2.01117297185902,7.28537017568904
0.294999859456884,31.5854934013122,27.0352771573358,48.3194945571689,31.5854934013122,27.0352771573358,48.3194945571689,0.235766741119785,-0.831322893400094,-2.94685061096534,14,12,22,14,10.0176385786679,20.0648100421744,3.5,0.276702659893808,2.4850429793112,3.26423325888022,1.1080255532939,5.43189359027654
0.299999857074798,10.2160128580328,51.7545308431467,52.9597436615193,10.2160128580328,51.7545308431467,52.9597436615193,0.497447120768703,-0.730981876627413,-2.35583716907969,14,12,22,14,10,20,2.39099701822713,0.27,2.44,1.89354989745842,1.00098187662741,4.79583716907969
0.304999854692711,-65.1778135156901,28.2548935601441,-44.5300027235922,-65.1778135156901,28.2548935601441,-44.5300027235922,0.885780885146305,-0.69042482260024,-2.02168117895028,14,8.04248226002402,18.1374256347092,14,8.02124113001201,18.0687128173546,2.38,-0.105964185297718,1.99580394799156,1.4942191148537,0.584460637302522,4.01748512694184
0.309999852310624,-76.8700050782952,58.63984448139,-25.2785985778458,-76.8700050782952,58.63984448139,-25.2785985778458,1.1271637471628,-0.670232358399103,-1.53581423118982,12.02363544031,8,18,12.02363544031,8,18,2.37011817720155,-0.11,1.98,1.24295443003875,0.560232358399103,3.51581423118982
0.314999849928537,-70.089720379668,60.9747652062086,-41.3859634773982,-70.089720379668,60.9747652062086,-41.3859634773982,1.41628301284233,-0.630504695875827,-1.29866875090732,12,8,16.0722395908943,12,8,14.1444791817887,2.37,-1.22574234150788,0.64020651567156,0.953716987157673,-0.59523764563205,1.93887526657888
0.319999847546451,-67.0414500221074,80.727662523276,-2.5582834613837,-67.0414500221074,80.727662523276,-2.5582834613837,1.61723666519284,-0.72863831261638,-1.00404755509503,10.0276333480716,8,16,10.0276333480716,8,14,1.81773733746005,-1.24,0.59,0.200500672267214,-0.51136168738362,1.59404755509503
0.324999845164364,-94.5851477726667,32.7162011880419,-64.5258310285966,-94.5851477726667,32.7162011880419,-64.5258310285966,1.79733309282429,-0.739853836492236,-0.855709620703239,10,6.02923270155273,14.0761282760432,10,6.02923270155273,12.0761282760432,1.81,-1.25970767298447,-0.756710206769774,0.0126669071757143,-0.519853836492236,0.098999413933465
0.329999842782277,-81.2214187908328,57.5939884793609,-24.6882572930761,-81.2214187908328,57.5939884793609,-24.6882572930761,2.07557162418334,-0.867969942396805,-0.722080777862788,8.03163125583326,6,14,8.03163125583326,6,12,1.24901490791248,-1.26,-0.81,-0.826556716270866,-0.392030057603195,-0.0879192221372119
0.334999840400191,-116.401729497774,92.4184643369909,-72.6287927424717,-116.401729497774,92.4184643369909,-72.6287927424717,2.14883669624567,-0.997840010394538,-0.620227269749507,8,6,12,8,6,12,1.24,-2.00737236846037,-1.75,-0.908836696245672,-1.00953235806584,-1.12977273025049
0.339999838018104,-89.4932138847331,127.383482644085,-24.8425857446479,-89.4932138847331,127.383482644085,-24.8425857446479,2.24823852184024,-1.20630089586451,-0.649484131176746,6.03522956319522,6,12,6.03522956319522,6,12,0.689864277694662,-2.02,-1.75,-1.55837424414558,-0.81369910413549,-1.10051586882325
0.344999835636017,-109.609100570702,111.316442395148,-31.6850408393009,-109.609100570702,111.316442395148,-31.6850408393009,2.22055842775614,-1.37683557604852,-0.65073115519448,6,4.03722851707618,10,6,4.03722851707618,8,0.68,-2.03962771482924,-2.22,-1.54055842775614,-0.662792138780714,-1.56926884480552
0.34999983325393,-85.4903433869608,139.153812362003,22.927767158212,-85.4903433869608,139.153812362003,22.927767158212,2.32784248909737,-1.57183582496585,-0.777510888045849,6,4.00992337819376,10,4.03922747095686,4.00992337819376,8,0.121179829222706,-2.04377088371363,-2.22,-2.20666265987467,-0.471935058747783,-1.44248911195415
0.354999830871844,-109.48466968953,170.170375122724,56.2668870991105,-109.48466968953,170.170375122724,56.2668870991105,2.18309198186282,-1.94158488486255,-0.970812265084249,6,6,6,4,6,8,0.11,-2.8,-3.63,-2.07309198186282,-0.858415115137454,-2.65918773491575
0.359999828489757,-64.9941837105231,212.920006149163,123.55766838176,-64.9941837105231,212.920006149163,123.55766838176,2.07237739582951,-2.34008888205649,-1.17561029507492,2.08645075743679,5.9940745295676,6,0.0864507574367908,6,8,-0.183516193192241,-2.79783720329217,-3.63,-2.25589358902175,-0.457748321235687,-2.45438970492508
0.36499982610767,-49.3391824944945,185.968587867589,84.1054097760745,-49.3391824944945,185.968587867589,84.1054097760745,1.90384406827094,-2.37045154940341,-1.54045996993196,2,4,6,0,6,6,-0.19,-2.07,-4.57,-2.09384406827094,0.300451549403405,-3.02954003006804
0.369999823725584,-14.8264075134007,170.06168200545,137.742989059309,-14.8264075134007,170.06168200545,137.742989059309,1.851180582162,-2.60038551253406,-1.77451486134971,2,4.00385512534064,6,1.95277671351996,6,6,-1.29331884313878,-2.07037587472071,-4.57,-3.14449942530078,0.530009637813352,-2.79548513865029
0.374999821343497,-69.9979506832917,233.99771548128,104.00128056064,-69.9979506832917,233.99771548128,104.00128056064,1.49001317417884,-2.999985721758,-2.13998682851913,2,7.99985721757999,7.99992682510627,2,6,7.99992682510627,-1.32,-2.45998607871405,-5.0499824380255,-2.81001317417884,0.53999964304395,-2.90999560950638
0.37999981896141,-12.060040007633,278.953417235451,123.503877360687,-12.060040007633,278.953417235451,123.503877360687,1.17033125521453,-3.31966874478543,-2.21801550944275,0.0020703450907924,8,8,0.0020703450907924,6,8,-1.0602691448618,-2.46,-5.05,-2.23060040007633,0.859668744785431,-2.83198449055725
0.384999816579324,47.8779210308506,273.012207896916,85.081333894415,47.8779210308506,273.012207896916,85.081333894415,0.750854552784046,-3.32,-2.50939520950307,0,8,6.00417096894436,0,6,8,-1.06,-1.73148529412481,-4.14189779086968,-1.81085455278405,1.58851470587519,-1.63250258136661
0.389999814197237,87.8786349429535,245.079376993883,107.384577050217,87.8786349429535,245.079376993883,107.384577050217,0.470849555399325,-3.52940467254588,-2.79224031932882,0,8,6,0,6,8,-1.63824020667283,-1.73,-4.14,-2.10908976207215,1.79940467254588,-1.34775968067118
0.39499981181515,65.0927728774318,296.80064223533,207.606960572558,65.0927728774318,296.80064223533,207.606960572558,0.12141176117831,-3.86869650692331,-3.16854575411847,0,9.99233239366654,6,0,9.98466478733308,6.00786078854883,-1.64,-1.74992332393667,-4.61811341074828,-1.76141176117831,2.11877318298665,-1.44956765662981
0.399999809433063,90.8691399120173,331.830835196246,236.173098022012,90.8691399120173,331.830835196246,236.173098022012,-0.188439745104822,-4.11879167997319,-3.29629319802971,0,10,6,-1.98993383938595,10,6,-1.65989933839386,-1.75,-4.62,-1.47145959328904,2.36879167997319,-1.32370680197029
0.404999807050977,109.8853814123,340.94750518657,205.191311564348,109.8853814123,340.94750518657,205.191311564348,-0.498129907253316,-4.22935839672475,-3.52862494813125,0,10,7.98804302722824,-2,8.01166551409552,6,-1.66,-0.646474360323013,-5.09713032653478,-1.16187009274668,3.58288403640173,-1.56850537840353
0.40999980466889,130.852327282056,319.150309147735,225.360229773099,130.852327282056,319.150309147735,225.360229773099,-0.966694943931732,-4.24986335532024,-4.10202550314896,0,10,8,-0.0140640683756081,8,6,-1.96782006940178,-0.64,-5.1,-1.00112512547005,3.60986335532024,-0.997974496851036
0.414999802286803,144.890334135741,367.616246164506,252.783260647898,144.890334135741,367.616246164506,252.783260647898,-1.20812001375556,-4.48812038937717,-4.52670877280141,0,11.9843365781431,9.9839452331776,0,11.9686731562862,9.9678904663552,-1.97,-1.02694563273791,-4.65361232253504,-0.761879986244444,3.46117475663927,-0.126903549733631
0.419999799904717,157.885194557705,383.858700994097,271.384083906699,157.885194557705,383.858700994097,271.384083906699,-1.5469973961246,-4.71796882679014,-4.61708250271594,1.98233762426234,12,10,1.98233762426234,12,10,-1.7122961088459,-1.03,-4.65,-0.165298712721298,3.68796882679014,-0.0329174972840565
0.42499979752263,203.547789418778,367.167121301755,268.040305121743,203.547789418778,367.167121301755,268.040305121743,-1.81734572050152,-4.92793556039008,-4.74869008354335,2,12,10,2,12,8.02015256087158,-1.71,0.0690879620618566,-3.28390526700139,0.107345720501521,4.99702352245194,1.46478481654196
0.429999795140543,223.783397165008,355.127589591026,252.549888385274,223.783397165008,355.127589591026,252.549888385274,-2.34426002487271,-4.74202016852457,-5.02037695325771,0.0216602834992143,12,10,0.0216602834992143,12,8,-1.18573997512729,0.08,-3.27,1.15852004974542,4.82202016852457,1.7503769532577
0.434999792758456,295.148267454318,380.697624719256,381.411601752597,295.148267454318,380.697624719256,381.411601752597,-2.63656941057989,-4.83883701815098,-5.34611994321245,0,15.9534807260393,11.9757496450778,0,15.9534807260393,11.9514992901556,-1.18,0.0701162981849017,-3.74417991481868,1.45656941057989,4.90895331633589,1.60194002839378
0.43999979037637,299.948683617478,374.088405068015,409.024451845882,299.948683617478,374.088405068015,409.024451845882,-3.04474007079154,-5.02760043386817,-5.54277371737691,3.94868361747846,16,12,3.94868361747846,16,12,-1.75255912453438,0.07,-3.75,1.29218094625717,5.09760043386817,1.79277371737691
0.444999787994283,270.414857177124,381.89096982103,371.544802011658,270.414857177124,381.89096982103,371.544802011658,-3.05,-5.01027257544742,-5.70776491482397,4,16,10.0279385647004,4,14.0272575447424,12,-1.76,1.53969312916691,-2.3794173024668,1.29,6.54996570461433,3.32834761235716
0.449999785612196,237.489325633871,365.248680238293,357.533060547935,237.489325633871,365.248680238293,357.533060547935,-3.24703439009775,-4.7932182148485,-6.07553121369891,4,16,10,4,14,12,-0.68616257396725,1.56,-2.36,2.5608718161305,6.3532182148485,3.71553121369891
0.45499978323011,308.844590569035,424.062336424887,479.99772757806,308.844590569035,424.062336424887,479.99772757806,-3.54525174206453,-4.98687445474962,-6.51311218286853,4,17.9687445474962,15.9038909237469,4,17.9374890949925,15.9359272824979,-0.67,1.18593853597571,-2.83231127389975,2.87525174206453,6.17281299072534,3.68080090896878
0.459999780848023,332.617497902584,432.866982374461,498.364620395175,332.617497902584,432.866982374461,498.364620395175,-3.81550975798686,-5.01950118390423,-6.60947051699598,7.9334778961016,18,16,7.9334778961016,18,16,-0.689667389480508,1.18,-2.82245142043817,3.12584236850635,6.19950118390423,3.78701909655781
0.464999778465936,332.017626680133,397.634560484773,416.445408398906,332.017626680133,397.634560484773,416.445408398906,-3.76105760080796,-4.88246773521856,-6.54120450699909,8,18,16,8,16.0352533602651,16,-0.69,2.28025811825152,-0.559920803398344,3.07105760080796,7.16272585347008,5.98128370360074
0.46999977608385,288.819550911214,350.875429382435,348.898024851913,288.819550911214,350.875429382435,348.898024851913,-3.89739233800977,-4.55614663183412,-6.70218893557654,6.03725231414608,18,16.0336759319468,6.03725231414608,16,16.0224506212978,0.379697488790385,2.3,-0.520056126553245,4.27708982680016,6.85614663183412,6.18213280902329
0.474999773701763,352.704708155116,374.009899581124,504.93461913052,352.704708155116,374.009899581124,504.93461913052,-3.9588224619592,-4.50970301256629,-7.08252813413064,6,20,21.8850482173945,6,18,19.923365478263,0.4,1.92,-0.529808413695658,4.3588224619592,6.42970301256629,6.55271972043499
0.479999771319676,346.165000887631,375.885440904981,530.814896948626,346.165000887631,375.885440904981,530.814896948626,-4.30278121116616,-4.44928894354816,-7.02949867923586,11.8762493342771,20,21.9922873728594,9.91749955618473,18.0079006272427,19.9922873728594,-0.158243686756324,1.92292323207981,-0.521053352516914,4.14453752440984,6.37221217562796,6.50844532671895
0.484999768937589,327.410867169991,346.932130756332,484.003918665043,327.410867169991,346.932130756332,484.003918665043,-4.10454116345779,-4.26887868206114,-6.90271894638449,12,20,20.0418299443768,10,20,18.0418299443768,-0.17,2.66,1.74147726452291,3.93454116345779,6.92887868206114,8.6441962109074
0.489999766555503,277.153827306564,324.009756798703,404.243830525549,277.153827306564,324.009756798703,404.243830525549,-4.18796383416489,-3.89007805438963,-6.87026668963732,10.0452481296692,20.0039027194813,20.0076197039234,10,20.0039027194813,18.0114295558851,1.1690050311766,2.66074151670145,1.78822841883781,5.35696886534149,6.55081957109108,8.65849510847513
0.494999764173416,358.015622490898,329.005711296801,529.073105948349,358.015622490898,329.005711296801,529.073105948349,-4.12165364792425,-3.92983817992397,-7.00679870963101,10,22,23.9085345608859,10,22,23.8628018413289,1.2,3.04,0.881265714594025,5.32165364792425,6.96983817992397,7.88806442422503
0.499999761791329,342.000878278589,334.99971443516,530.000097566525,342.000878278589,334.99971443516,530.000097566525,-4.07000243966275,-3.7600080910038,-6.83000878098725,15.9997072404705,22,24,13.9998048269803,22,24,0.920013662111377,3.04,0.86,4.99001610177412,6.8000080910038,7.69000878098725
0.504999759409243,313.030365061331,347.986388075953,418.829223199948,313.030365061331,347.986388075953,418.829223199948,-3.79029317990251,-3.46031412132416,-6.56670079178935,16,20.002094142161,24,14,20.002094142161,22.0496354947359,0.92,3.77922516740041,3.13217464863263,4.71029317990251,7.23953928872457,9.69887544042198
0.509999757027156,268.092094660937,308.081861920842,340.159423701873,268.092094660937,308.081861920842,340.159423701873,-3.6702455857625,-3.19055256796568,-6.42029367524029,14.0040930960417,20,24,12.0040930960417,20,22,2.28719622921147,3.78,3.19,5.95744181497397,6.97055256796568,9.61029367524029
0.514999754645069,342.771548127912,332.928830161213,454.841242074942,342.771548127912,332.928830161213,454.841242074942,-3.64009138074884,-3.11022774348412,-6.37133845674791,14,21.994306412897,27.8929234601675,12,23.988612825794,27.8393851902513,2.29,3.0421066272281,2.74231380208073,5.93009138074884,6.15233437071222,9.11365225882864
0.519999752262982,333.040455019016,343.957697281281,440.070966666587,333.040455019016,343.957697281281,440.070966666587,-3.55036409517114,-2.90080759735736,-6.07118277777645,17.9838179923936,22,28,17.9757269885904,24,28,1.73226548106489,3.04,2.73,5.28262957623604,5.94080759735736,8.80118277777644
0.524999749880896,280.267383878628,283.295555897177,360.339089090404,280.267383878628,283.295555897177,360.339089090404,-3.22166484301787,-2.71092058394203,-5.69112493591778,18,22,26.0570509534245,18,20.019380714569,26.0570509534245,1.73,4.15457339992068,4.98382089402758,4.95166484301787,6.86549398386271,10.6749458299454
0.529999747498809,226.326400612249,270.075980522576,293.389394343099,226.326400612249,270.075980522576,293.389394343099,-3.11066489013606,-2.37198718289814,-5.4811981364403,16.0120889115648,22,26,14.0241778231295,20,26,3.10165865102031,4.16,5.05,6.21232354115638,6.53198718289814,10.5311981364403
0.534999745116722,312.387177853117,318.664637506377,435.519900947551,312.387177853117,318.664637506377,435.519900947551,-2.88162010452624,-2.34020532397569,-5.3151810669314,16,22,31.8171388141858,14,21.9863117349541,27.9390462713953,3.11,3.42506465806697,4.15803871515818,5.99162010452624,5.76526998204265,9.47321978208958
0.539999742734636,289.188284246352,325.945094733756,429.088435371495,289.188284246352,325.945094733756,429.088435371495,-2.78078451769313,-2.13164715798732,-4.93305504010619,19.9686192922747,22,32,17.9686192922747,22,28,2.286511496853,3.42,4.13,5.06729601454613,5.55164715798732,9.06305504010619
