I0,pitch,pitch_target,pwma,speed_b,speed_target,flag,e,ec,ec_raw
49.797001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.801998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.806999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.812000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.817001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.821999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.827000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.832001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.837002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.841999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.847000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.852001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.856998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.862000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.867001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.872002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.876999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.882000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.887001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.891998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.896999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.902000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.907001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.911999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.917000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.922001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.926998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.931999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.937000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.942001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.946999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.952000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.957001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.962002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.966999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.972000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.977001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.981998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.987000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.992001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
49.997002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.001999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.007000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.012001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.016998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.021999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.027000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.032001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.036999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.042000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.047001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.051998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.056999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.062000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.067001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.071999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.077000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.082001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.087002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.091999,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.097000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.102001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.106998,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.112000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.117001,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
50.122002,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000
