I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
13.442000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.010000
13.447000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.010000
13.452000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.000000
13.457000,0.000000,0.000000,0.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.020000
13.462000,0.000000,0.000000,0.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.030000
13.467000,0.000000,0.000000,0.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040000,0.030000
13.472000,0.000000,0.000000,0.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.050000
13.477000,0.000000,0.000000,0.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.060000
13.482000,0.000000,0.000000,0.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030000,0.070000
13.487000,0.000000,0.000000,0.230000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,0.080000
13.492000,0.000000,0.000000,0.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020000,0.090000
13.497000,0.000000,0.000000,0.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.100000
13.502000,0.000000,0.000000,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010000,0.100000
13.507000,0.000000,0.000000,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.110000
13.512000,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000
13.517000,0.000000,0.000000,-0.060000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.090000
13.522000,0.000000,0.000000,-0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.080000
13.527000,0.000000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.080000
13.532000,0.000000,0.000000,-0.170000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.060000
13.537000,0.000000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.060000
13.542000,0.000000,0.000000,-0.220000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.040000
13.547000,0.000000,0.000000,-0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.050000
13.552000,0.000000,0.000000,-0.270000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.040000
13.557000,0.000000,0.000000,-0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000
13.562000,0.000000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.030000
13.567000,0.000000,0.000000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.020000
13.572000,0.000000,0.000000,-0.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.020000
13.577000,0.000000,0.000000,-0.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.010000
13.582000,0.000000,0.000000,-0.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.000000
13.587000,0.000000,0.000000,-0.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,-0.020000
13.592000,0.000000,0.000000,-0.290000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,-0.030000
13.597000,0.000000,0.000000,-0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,-0.030000
13.602000,0.000000,0.000000,-0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,-0.030000
