I0,I1,I2,I3,I4,I5,I6,I7,I8,I9
727.487000,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.492004,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.497009,69.339996,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.502014,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.507019,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.512024,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.517029,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.521973,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.526978,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.531982,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.536987,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.541992,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.546997,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.552002,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.557007,69.360001,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.562012,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.567017,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.572021,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.930000,0.000000,0.000000
727.577026,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.581970,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.586975,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
727.591980,69.349998,0.000000,0.000000,0.000000,0.000000,0.000000,-6.940000,0.000000,0.000000
